City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Mechelen,Belgium,TRUE,Mechelen,Belgium,51.0259143,4.4775553,Moving image,Ginwala Natasha,India,Biennial,International,2003,2017,Mechelen,Belgium,Western Europe
Turku,Finland,TRUE,Turku,Finland,60.4518126,22.2666302,Contemporary art,n/a,n/a,Biennial,Local,2003,2017,Turku,Finland,Western Europe
Brighton,UK,TRUE,Brighton,United Kingdom,51.5072178,-0.1275862,Photography,Mavlian Shoair,UK,Biennial,International,2003,2018,Brighton,UK,Western Europe
Bucharest,Romania,TRUE,Bucharest,Romania,44.4267674,26.1025384,Contemporary art,n/a,n/a,Biennial,Local,2004,2018,Bucharest,Romania,Eastern Europe
Liverpool,UK,TRUE,Liverpool,United Kingdom,45.7770651,-74.0022198,Contemporary art,"Scott Kitty, Tallant Sally","Canada, UK",Biennial,International,2004,2018,Liverpool,UK,Western Europe
Beijing,China,TRUE,Beijing,China,39.904211,116.407395,Photography,Yue Hong,China,Biennial,International,2005,2017,Beijing,China,Asia
Shenzhen,China,TRUE,Shenzhen,China,22.5428599,114.05956,"Contemporary art, Design, Urbanism",Kiu Chan Lai,Hong Kong,Biennial,International,2005,2017,Shenzhen,China,Asia
Bucharest,Romania,TRUE,Bucharest,Romania,44.4267674,26.1025384,Contemporary art,"Madra Beral, Ion Răzvan","Turkey, Romania",Biennial,International,2005,2018,Bucharest,Romania,Eastern Europe
Vancouver,Canada,TRUE,Vancouver,Canada,49.2827291,-123.1207375,Contemporary art,"Mowatt Barrie, Dantas Marcello, Uslip Jeffrey","Canada, Brazil, USA",Biennial,International,2005,2018,Vancouver,Canada,North America
New York,USA,TRUE,New York,USA,40.7127753,-74.0059728,Performance,Goldberg RoseLee,USA,Biennial,International,2005,2017,New York,USA,North America
Ballarat,Australia,TRUE,Ballarat,Australia,-37.5621587,143.8502556,Photography,n/a,n/a,Biennial,International,2005,2017,Ballarat,Australia,Oceania
Mannheim,Germany,TRUE,Mannheim,Germany,49.4874592,8.4660395,Photography,"Ebner Florian, Müller Christin, Levin Boaz, Knierim Fabian, Meincke Kerstin, Schönegg Kathrin","Germany, Germany, Israel, Germany, Germany, Germany",Biennial,International,2005,2017,Mannheim,Germany,Western Europe
Athens,Greece,TRUE,Athens,Greece,37.9838096,23.7275388,Digital art,n/a,n/a,Annual,International,2005,2018,Athens,Greece,Western Europe
Glasgow,UK,TRUE,Glasgow,UK,55.864237,-4.251806,Contemporary art,Parry Richard,UK,Biennial,International,2005,2018,Glasgow,UK,Western Europe
Ulaanbaatar,Mongolia,TRUE,Ulaanbaatar,Mongolia,47.8863988,106.9057439,Land art,Biggs Lewis,UK,Biennial,International,2006,2018,Ulaanbaatar,Mongolia,Asia
Singapore,Singapore,TRUE,Singapore,Singapore,1.352083,103.819836,Contemporary art,Lingham Susie,n/a,Biennial,International,2006,2016,Singapore,Singapore,Asia
Daegu,South Korea,TRUE,Daegu,South Korea,35.8714354,128.601445,Photography,"Barak Ami, Draz Bernhard, Jung Hoon, Gang Wee Won, Docquiert Francoise, Kang Hyoyeon, Kim So-hee, Zo Sun Hi, Sue Jin Eun","France, Germany, South Korea, South Korea, France, South Korea, South Korea, South Korea, South Korea",Biennial,International,2006,2018,Daegu,South Korea,Asia
Sinop,Turkey,TRUE,Sinop,Turkey,42.027974,35.151725,Contemporary art,"Görgün T. Melih, Bätzner Nike, Engqvist Jonatan Habib","Turkey, Germany, Sweden",Biennial,International,2006,2017,Sinop,Turkey,Middle East
TarraWarra,Australia,TRUE,TarraWarra,Australia,-37.6469756,145.4363814,Contemporary art,Cormack Emily,Australia,Biennial,Local,2006,2018,TarraWarra,Australia,Oceania
Reykjavik,Iceland,TRUE,Reykjavik,Iceland,64.146582,-21.9426354,Contemporary art,Norton Margot,USA,Biennial,International,2006,2017,Reykjavik,Iceland,Western Europe
Whitstable,UK,TRUE,Whitstable,UK,51.361047,1.024256,"Film, Sound, Performance",Jones Sue,UK,Biennial,International,2006,2018,Whitstable,UK,Western Europe
Douala,Cameroon,TRUE,Douala,Cameroon,4.0510564,9.7678687,Public art,Bourne-Farrell Cécile,France,Triennial,International,2007,2017,Douala,Cameroon,Africa
Taipei,Taiwan,TRUE,Taipei,Taiwan,25.0329636,121.5654268,Contemporary art,"Al-Khudhairi Wassan, Darmawan Ade, Kubota Kenji, Lin Hsiao-Yu","Iraq, Indonesia, Japan, Taiwan",Biennial,International,2007,2017,Taipei,Taiwan,Asia
Athens,Greece,TRUE,Athens,Greece,37.9838096,23.7275388,Contemporary art,"Hessler Stefanie, Poka-Yio, Stafylakis Kostis","Germany, Greece, Greece",Biennial,International,2007,2018,Athens,Greece,Western Europe
Thessaloniki,Greece,TRUE,Thessaloniki,Greece,40.6400629,22.9444191,Contemporary art,Tsiara Syrago,Greece,Biennial,International,2007,2017,Thessaloniki,Greece,Western Europe
Lubumbashi,Congo,TRUE,Lubumbashi,Congo,-11.6876026,27.5026174,Contemporary art,Luntumbue Toma Muteba,Congo,Biennial,International,2008,2017,Lubumbashi,Congo,Africa
Taipei,Taiwan,TRUE,Taipei,Taiwan,25.0329636,121.5654268,Contemporary art,"Gong Jow-Jiun, Chou Yu-Ling","Taiwan, Taiwan",Biennial,Local,2008,2018,Taipei,Taiwan,Asia
Taipei,Taiwan,TRUE,Taipei,Taiwan,25.0329636,121.5654268,Contemporary art,"Akay Ali, Starr Bala, Slager Henk, Yang Kai-Lin, Pan Lu, Lo Sandy Hsiu-Chih, Bauer Ute Meta","Turkey, Australia, n/a, Taiwan, n/a, Taiwan, Germany",Biennial,International,2008,2018,Taipei,Taiwan,Asia
Poznan,Poland,TRUE,Poznan,Poland,52.406374,16.9251681,Contemporary art,Wendland Tomasz,Poland,Biennial,International,2008,2018,Poznan,Poland,Eastern Europe
Moscow,Russia,TRUE,Moscow,Russia,55.755826,37.6172999,Contemporary art,Visconti Lucrezia Calabrò,Italy,Biennial,International,2008,2018,Moscow,Russia,Eastern Europe
El Paso,Mexico,TRUE,El Paso,Mexico,31.7618778,-106.4850217,Contemporary art,n/a,n/a,Biennial,International,2008,2018,El Paso,Mexico,Latin America
Çanakkale,Turkey,TRUE,Çanakkale,Turkey,40.14672,26.408587,Contemporary art,Erbaş Deniz,Turkey,Biennial,International,2008,2018,Çanakkale,Turkey,Middle East
New Orleans,USA,TRUE,New Orleans,USA,29.9510658,-90.0715323,Contemporary art,Schoonmaker Trevor,USA,Triennial,International,2008,2018,New Orleans,USA,North America
Onkaparinga City,Australia,TRUE,Onkaparinga City,Australia,-35.2128245,138.5187229,Photography,n/a,n/a,Biennial,Local,2008,2018,Onkaparinga City,Australia,Oceania
Ii,Finland,FALSE,Oulu,Finland,65.0239,25.53508,Contemporary art,"Patsey Anastasia, Tenetz Antti, Briñón Merja","Russia, Finland, Finland",Biennial,International,2008,2018,Ii,Finland,Western Europe
Rennes,France,TRUE,Rennes,Rennes,48.10986,-1.67451,Contemporary art,"Bernard Etienne, Kopp Céline",France,Biennial,International,2008,2018,Rennes,France,Western Europe
Borås,Sweden,TRUE,Borås,Borås,57.72351,12.95126,Sculpture,Ekroth Power,Sweden,Biennial,International,2008,2018,Borås,Sweden,Western Europe
Örebro,Sweden,TRUE,Örebro,Örebro,59.27086,15.20214,Public art,Jonnson Lars,Sweden,Biennial,International,2008,2017,Örebro,Sweden,Western Europe
Folkestone,UK,TRUE,Folkestone,Folkestone,,,"Contemporary art, Public art",Biggs Lewis,UK,Triennial,International,2008,2017,Folkestone,UK,Western Europe
Kathmandu,Nepal,TRUE,Kathmandu,Kathmandu,27.70628,85.32663,Contemporary art,Van Cauteren Philippe,Belgium,Triennal,International,2009,2017,Kathmandu,Nepal,Asia
Port-au-Prince,Haiti,TRUE,Port-au-Prince,Port-au-Prince,18.53137,-72.33612,Contemporary art,"Eugene Andre, Gordonn Leah","Haiti, UK",Biennial,International,2009,2017,Port-au-Prince,Haiti,Caribbean
Riga,Latvia,TRUE,Riga,Riga,56.95623,24.12363,Contemporary art,n/a,n/a,Annual,International,2009,2018,Riga,Latvia,Eastern Europe
La Paz,Bolivia,TRUE,La Paz,La Paz,-16.50387,-68.1456,Posters,n/a,n/a,Biennial,International,2009,2017,La Paz,Bolivia,Latin America
New York,USA,TRUE,New York,New York,40.68908,-73.95861,Contemporary art,"Carrion-Murayari Gary, Gartenfeld Alex","USA, USA",Triennial,International,2009,2018,New York,USA,North America
Chianciano,Italy,FALSE,Chianciano Terme,Italy,43.0409,11.82425,Contemporary art,n/a,n/a,Biennial,International,2009,2018,Chianciano,Italy,Western Europe
Moss,Norway,TRUE,Moss,Norway,59.43872,10.67081,Contemporary art,"Flink Ulrika, Laamanen Ilari, Lillemose Jacob, Moe Gunhild, Ransu Jón B.K.","Sweden, Finland, Denmark, Norway, Iceland",Biennial,International,2009,2017,Moss,Norway,Western Europe
Aichi,Japan,TRUE,Aichi,Japan,34.95098,137.25657,Contemporary art,Tsuda Daisuke,Japan,Triennial,International,2010,2019,Aichi,Japan,Asia
Seto Inland Sea,Japan,TRUE,Seto Inland Sea,Japan,34.39672,132.48056,Contemporary art,n/a,n/a,Triennial,International,2010,2016,Seto Inland Sea,Japan,Asia
Sfântu Gheorghe,Romania,TRUE,Sfântu Gheorghe,Romania,44.89776,29.59475,Graphic art,n/a,n/a,Biennial,International,2010,2018,Sfântu Gheorghe,Romania,Eastern Europe
Yekaterinburg,Russia,TRUE,Yekaterinburg,Russia,56.83713,60.60691,Contemporary art,Ribas João,Portugal,Biennial,International,2010,2017,Yekaterinburg,Russia,Eastern Europe
Oran,Algeria,TRUE,Oran,Algeria,35.69606,-0.62946,Contemporary art,"Rahim Sadek, Chaouche Tewfik Ali",Algeria,Biennial,International,2010,2017,Oran,Algeria,Middle East
Mardin,Turkey,TRUE,Mardin,Turkey,37.31532,40.72039,Contemporary art,"Arapoğlu Fırat, Gürlek Nazlı, Yücel Derya","Turkey, Turkey, Turkey",Biennial,International,2010,2018,Mardin,Turkey,Middle East
Huntington,USA,TRUE,Huntington,USA,40.77208,-98.14495,Contemporary art,n/a,n/a,Biennial,Local,2010,2018,Huntington,USA,North America
Barcelona,Spain,TRUE,Barcelona,Spain,41.40359,2.15379,Photography,n/a,n/a,Biennial,International,2010,2018,Barcelona,Spain,Western Europe
Liverpool,UK,TRUE,Liverpool,UK,53.42616,-2.93314,Photography,Kwok Ying,Hong Kong,Biennial,International,2011,2017,Liverpool,UK,Western Europe
Casablanca,Morocco,TRUE,Casablanca,Morocco,33.58457,-7.62483,Contemporary art,Eyene Christine,UK,Biennial,International,2012,2018,Casablanca,Morocco,Africa
Kochi-Muziris,India,TRUE,Kochi-Muziris,India,10.03631,76.31439,Contemporary art,Dube Anita,India,Biennial,International,2012,2018,Kochi-Muziris,India,Asia
